gameID,treatmentName,coding,text,time,round,recipient,sender.id,sender.name
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,5 rabbits and 2 squirrels,1.71E+12,1,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,I see three rabbits,1.71E+12,1,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,I see 6 rabbits and 2 squirrels,1.71E+12,1,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,6 bunnies 1 squirrel,1.71E+12,1,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,5 rabbits and 2 squirrels,1.71E+12,2,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,I see three rabbits,1.71E+12,2,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,I see 6 rabbits and 2 squirrels,1.71E+12,2,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,6 rabbits 1 squirrel,1.71E+12,2,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,5 rabbits and 2 squirrels,1.71E+12,3,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,I see 6 rabbits and 2 squirrels,1.71E+12,3,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,3 rabbits,1.71E+12,3,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,6 rabbits 1 squirrel,1.71E+12,3,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,I see 6 rabbits and 2 squirrels,1.71E+12,4,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,3 rabbits,1.71E+12,4,01HMFDTY0YJJJJJ9EVMWXG1T0C,01HMFDVH0RRB2CW5RVSBAJSBAB,player 3
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,6 rabbits 1 squirrel,1.71E+12,4,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDV64T6B4RGX4X5N3BJX0B,player 2
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,5 rabbits 2 squirrels,1.71E+12,4,01HMFDV64T6B4RGX4X5N3BJX0B,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,I see 6 rabbits and 2 squirrels,1.71E+12,5,01HMFDVR4PHA6TYJQ97D91TS5E,01HMFDTY0YJJJJJ9EVMWXG1T0C,player 1
01HMFD6Y3K9VY9SR4HBJ8529TQ,experiment1-0.7,n,5 rabbits 2 squirrels,1.71E+12,5,01HMFDVH0RRB2CW5RVSBAJSBAB,01HMFDVR4PHA6TYJQ97D91TS5E,player 4
