gameID,players,nRabbits,nSquirrels,mleEstimate,nCritters,nRabbitsGame,nSquirrelsGame,mleGame,totalCritters,prob,entropy,representation,entropy_bin,representation_bin,nCrittersGame_bin
10023,,,,,,12,5,0.7058823529411765,17,0.058823529411764705,0.6598720137848266,0.5672268907563025,"(0.54,0.81]","(0.48,0.6]","[15,20]"
10026,,,,,,27,10,0.7297297297297297,37,0.918918918918919,0.37047851164558954,0.208664546899841,"(0.27,0.54]","(0.12,0.24]","(35,40]"
10079,,,,,,12,4,0.75,16,0.3125,1.3334730391185028,0.11250000000000002,"(1.1,1.4]","[0,0.12]","[15,20]"
1010,,,,,,12,5,0.7058823529411765,17,0.11764705882352941,1.236477074585904,0.4642857142857143,"(1.1,1.4]","(0.36,0.48]","[15,20]"
10120,,,,,,17,6,0.7391304347826086,23,0.6956521739130435,0.9053685045623691,0.484375,"(0.81,1.1]","(0.48,0.6]","(20,25]"
10216,,,,,,21,8,0.7241379310344828,29,0.10344827586206896,0.623532768112163,0.27083333333333337,"(0.54,0.81]","(0.24,0.36]","(25,30]"
10227,,,,,,24,9,0.7272727272727273,33,0.42424242424242425,1.1750473833454875,0.08392857142857144,"(1.1,1.4]","[0,0.12]","(30,35]"
10239,,,,,,30,10,0.75,40,0.425,1.3057360242692198,0.17320261437908496,"(1.1,1.4]","(0.12,0.24]","(35,40]"
10297,,,,,,18,7,0.72,25,0.88,0.49875846591288275,0.32181818181818184,"(0.27,0.54]","(0.24,0.36]","(20,25]"
10466,,,,,,27,9,0.75,36,0.4444444444444444,1.1564689415100748,0.12215909090909091,"(1.1,1.4]","(0.12,0.24]","(35,40]"
10545,,,,,,20,7,0.7407407407407407,27,0.25925925925925924,1.3726715333234558,0.07946428571428571,"(1.4,1.6]","[0,0.12]","(25,30]"
10605,,,,,,12,5,0.7058823529411765,17,0.058823529411764705,1.1874157698436563,0.12708333333333335,"(1.1,1.4]","(0.12,0.24]","[15,20]"
11301,,,,,,24,9,0.7272727272727273,33,0.7575757575757576,0.7900557453395436,0.09083333333333335,"(0.54,0.81]","[0,0.12]","(30,35]"
1159,,,,,,27,10,0.7297297297297297,37,0.32432432432432434,1.351949887048411,0.05871212121212124,"(1.4,1.6]","[0,0.12]","(35,40]"
11807,,,,,,21,8,0.7241379310344828,29,0.2413793103448276,1.3564067755421518,0.05492610837438425,"(1.4,1.6]","[0,0.12]","(25,30]"
12144,,,,,,28,10,0.7368421052631579,38,0.07894736842105263,0.6627104473303808,0.10215053763440862,"(0.54,0.81]","[0,0.12]","(35,40]"
12149,,,,,,22,8,0.7333333333333333,30,0.06666666666666667,0.5313039033395413,0.2102564102564103,"(0.27,0.54]","(0.12,0.24]","(25,30]"
12282,,,,,,15,5,0.75,20,0.25,1.3762266043445464,0.275,"(1.4,1.6]","(0.24,0.36]","[15,20]"
12392,,,,,,30,10,0.75,40,0.075,1.0497818282656932,0.19047619047619047,"(0.81,1.1]","(0.12,0.24]","(35,40]"
12543,,,,,,18,7,0.72,25,0.04,0.49875846591288275,0.4431818181818182,"(0.27,0.54]","(0.36,0.48]","(20,25]"
13026,,,,,,25,9,0.7352941176470589,34,0.29411764705882354,1.3706415850086526,0.08571428571428572,"(1.4,1.6]","[0,0.12]","(30,35]"
1307,,,,,,27,9,0.75,36,0.027777777777777776,0.4643566259363562,0.4453125,"(0.27,0.54]","(0.36,0.48]","(35,40]"
1311,,,,,,12,4,0.75,16,0.6875,0.9507489270509151,0.19318181818181818,"(0.81,1.1]","(0.12,0.24]","[15,20]"
13122,,,,,,27,10,0.7297297297297297,37,0.5135135135135135,1.1485654069525746,0.1473684210526316,"(1.1,1.4]","(0.12,0.24]","(35,40]"
13188,,,,,,25,9,0.7352941176470589,34,0.20588235294117646,1.3808771531024813,0.04365079365079366,"(1.4,1.6]","[0,0.12]","(30,35]"
13282,,,,,,28,10,0.7368421052631579,38,0.02631578947368421,0.3629234715124522,0.2030075187969925,"(0.27,0.54]","(0.12,0.24]","(35,40]"
1332,,,,,,24,8,0.75,32,0.8125,0.6722158648096406,0.19230769230769232,"(0.54,0.81]","(0.12,0.24]","(30,35]"
13549,,,,,,21,8,0.7241379310344828,29,0.41379310344827586,1.0756041641085323,0.421474358974359,"(0.81,1.1]","(0.36,0.48]","(25,30]"
13780,,,,,,24,9,0.7272727272727273,33,0.030303030303030304,0.9231699286399813,0.18073593073593075,"(0.81,1.1]","(0.12,0.24]","(30,35]"
1454,,,,,,22,8,0.7333333333333333,30,0.8333333333333334,0.6263812368639954,0.21333333333333335,"(0.54,0.81]","(0.12,0.24]","(25,30]"
14614,,,,,,12,5,0.7058823529411765,17,0.47058823529411764,1.2530462261125415,0.5,"(1.1,1.4]","(0.48,0.6]","[15,20]"
1467,,,,,,22,8,0.7333333333333333,30,0.03333333333333333,0.5313039033395413,0.3173076923076923,"(0.27,0.54]","(0.24,0.36]","(25,30]"
1488,,,,,,20,7,0.7407407407407407,27,0.1111111111111111,1.310783678099714,0.1990740740740741,"(1.1,1.4]","(0.12,0.24]","(25,30]"
