"gameID","playerID","stageName","treatmentName.x","ended.x","roundID","confidence","guess","stageID.x","idx","exitSurvey","participantID","recipient","nRabbits","nSquirrels","nCritters","mleEstimate","nSquirrelsGame","nRabbitsGame","nCrittersGame","mleGame","prob","entropy","representation","designatedGame","entropy_bin","representation_bin","nCrittersGame_bin"
"01JD3E7HYGK85SAZKGC9VS7GKG","01JD3D496FNA350BWA3FCJ0N36","observe","RS_interactive","game ended","01JD3ERYDGZFYTTC9CW416SH8Y",100,50,"01JD3ERYKD474985DV0GJF6F83",7,"{""usedCalculator"":""no""}","01JD3D48EWT4KV6ZZXZ0KQGZVD","01JD3EJZ1BXTKMC13K0W9WN5X2",6,1,7,0.857142857142857,7,20,"27",0.7407,0.2593,"1.3727","0.0795","10545","(1.4,1.6]","[0,0.12]","(25,30]"
"01JD3E7HYGK85SAZKGC9VS7GKG","01JD3D496FNA350BWA3FCJ0N36","observe","RS_interactive","game ended","01JD3ERYD8ESCF2PY0ME07H7HT",100,6,"01JD3ERYNP7B3EP9CVDKTNWRH0",4,"{""usedCalculator"":""no""}","01JD3D48EWT4KV6ZZXZ0KQGZVD","01JD3EJZ1BXTKMC13K0W9WN5X2",6,1,7,0.857142857142857,7,20,"27",0.7407,0.2593,"1.3727","0.0795","10545","(1.4,1.6]","[0,0.12]","(25,30]"
"01JD3E7HYGK85SAZKGC9VS7GKG","01JD3D496FNA350BWA3FCJ0N36","observe","RS_interactive","game ended","01JD3ERYD3TEERT8CGNAEBVXA4",100,1,"01JD3ERYMJCP88AXD70KWQBT0K",8,"{""usedCalculator"":""no""}","01JD3D48EWT4KV6ZZXZ0KQGZVD","01JD3EJZ1BXTKMC13K0W9WN5X2",6,1,7,0.857142857142857,7,20,"27",0.7407,0.2593,"1.3727","0.0795","10545","(1.4,1.6]","[0,0.12]","(25,30]"
"01JD3E7HYGK85SAZKGC9VS7GKG","01JD3D496FNA350BWA3FCJ0N36","observe","RS_interactive","game ended","01JD3ERYCXRAH1YFT205P1R3QC",NA,NA,"01JD3ERYKJ754JVJBZY6YBQ5NA",5,"{""usedCalculator"":""no""}","01JD3D48EWT4KV6ZZXZ0KQGZVD","01JD3EJZ1BXTKMC13K0W9WN5X2",6,1,7,0.857142857142857,7,20,"27",0.7407,0.2593,"1.3727","0.0795","10545","(1.4,1.6]","[0,0.12]","(25,30]"
"01JD3E7HYGK85SAZKGC9VS7GKG","01JD3D496FNA350BWA3FCJ0N36","observe","RS_interactive","game ended","01JD3ERYCT0MVCFB26VJ3B4275",NA,NA,"01JD3ERYMFHRQ2ZVMC46YDCMJ1",1,"{""usedCalculator"":""no""}","01JD3D48EWT4KV6ZZXZ0KQGZVD","01JD3EJZ1BXTKMC13K0W9WN5X2",6,1,7,0.857142857142857,7,20,"27",0.7407,0.2593,"1.3727","0.0795","10545","(1.4,1.6]","[0,0.12]","(25,30]"
"01JD3E7HYGK85SAZKGC9VS7GKG","01JD3D496FNA350BWA3FCJ0N36","observe","RS_interactive","game ended","01JD3ERYDC7XNBNAS4NTCC5KWJ",100,1,"01JD3ERYJ5ZQ1NY58DV7QN883Q",6,"{""usedCalculator"":""no""}","01JD3D48EWT4KV6ZZXZ0KQGZVD","01JD3EJZ1BXTKMC13K0W9WN5X2",6,1,7,0.857142857142857,7,20,"27",0.7407,0.2593,"1.3727","0.0795","10545","(1.4,1.6]","[0,0.12]","(25,30]"
"01JD3E7HYGK85SAZKGC9VS7GKG","01JD3D496FNA350BWA3FCJ0N36","observe","RS_interactive","game ended","01JD3ERYDMAYFKPZ9H4E17QBGS",NA,NA,"01JD3ERYN34YFK39AX2TGQH6EA",2,"{""usedCalculator"":""no""}","01JD3D48EWT4KV6ZZXZ0KQGZVD","01JD3EJZ1BXTKMC13K0W9WN5X2",6,1,7,0.857142857142857,7,20,"27",0.7407,0.2593,"1.3727","0.0795","10545","(1.4,1.6]","[0,0.12]","(25,30]"
"01JD3E7HYGK85SAZKGC9VS7GKG","01JD3D496FNA350BWA3FCJ0N36","observe","RS_interactive","game ended","01JD3ERYDSW2V94SEAJC2CT6J1",NA,NA,"01JD3ERYHDAMXQK4F3ZA1T06DH",3,"{""usedCalculator"":""no""}","01JD3D48EWT4KV6ZZXZ0KQGZVD","01JD3EJZ1BXTKMC13K0W9WN5X2",6,1,7,0.857142857142857,7,20,"27",0.7407,0.2593,"1.3727","0.0795","10545","(1.4,1.6]","[0,0.12]","(25,30]"
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D4B3JPHEW7N5VN1W4W61X","observe","RS_interactive","game ended","01JD3DDB4V0YTWP89RJVEBZDAM",100,100,"01JD3DDBDYPGJ2HW8YWKT49H53",4,"{""usedCalculator"":""no""}","01JD3D4AW7FXGQ2BD7Q037M980","01JD3D8FNQMYKZSCEXQJMATBKW",0,1,1,0,5,12,"17",0.7059,0.0588,"0.6598","0.5672","10023","(0.54,0.81]","(0.48,0.6]","[15,20]"
"01JD3CSYSGATA1GNP7YFFCMXSG","01JD3D4B3JPHEW7N5VN1W4W61X","observe","RS_interactive","game ended","01JD3DDB4WBHGM5P2CF3YPV3W3",76,100,"01JD3DDBDXDPHEPQADAZ8QG3PY",5,"{""usedCalculator"":""no""}","01JD3D4AW7FXGQ2BD7Q037M980","01JD3D8FNQMYKZSCEXQJMATBKW",0,1,1,0,5,12,"17",0.7059,0.0588,"0.6598","0.5672","10023","(0.54,0.81]","(0.48,0.6]","[15,20]"
